company_id,company,country,shippings,incidencias,date,days_w_shipments,last_ship,week,company_creation_date,created_months
2,OXA Pharma,AR,3,0,2019-07-05,1,2019-07-05,201926,2019-07-05,25
2,OXA Pharma,AR,10,0,2019-07-09,3,2019-07-12,201927,2019-07-05,25
2,OXA Pharma,AR,14,1,2019-07-15,3,2019-07-18,201928,2019-07-05,25
3,Librenta,AR,83,2,2019-07-15,5,2019-07-19,201928,2019-07-15,25
6,Brubank,AR,1,0,2019-07-16,1,2019-07-16,201928,2019-07-16,25
9,MOOVA PRUEBAS,AR,1,0,2019-07-18,1,2019-07-18,201928,2019-07-18,25
2,OXA Pharma,AR,18,0,2019-07-22,4,2019-07-25,201929,2019-07-05,25
3,Librenta,AR,86,2,2019-07-22,5,2019-07-26,201929,2019-07-15,25
5,Tienda Pepino,AR,34,5,2019-07-24,2,2019-07-26,201929,2019-07-16,25
8,Agora XXI SRL,AR,1,0,2019-07-26,1,2019-07-26,201929,2019-07-17,25
10,Apio Verde,AR,3,1,2019-07-26,1,2019-07-26,201929,2019-07-18,25
11,Jugueterias Carrousel,AR,4,0,2019-07-22,3,2019-07-26,201929,2019-07-18,25
13,Lumi,AR,1,0,2019-07-25,1,2019-07-25,201929,2019-07-19,24
15,Famusic S.A,AR,3,0,2019-07-25,1,2019-07-25,201929,2019-07-19,24
16,Altercom,AR,8,0,2019-07-24,2,2019-07-25,201929,2019-07-19,24
19,Amitosai,AR,2,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
20,DGM Maquinarias,AR,2,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
22,Point Sports,AR,3,0,2019-07-25,2,2019-07-26,201929,2019-07-20,24
23,Salgran,AR,3,1,2019-07-26,1,2019-07-26,201929,2019-07-20,24
24,Tonich Argentina,AR,3,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
25,FOT-TAIRON SA,AR,7,0,2019-07-25,2,2019-07-26,201929,2019-07-20,24
26,Electro and power,AR,5,0,2019-07-24,2,2019-07-26,201929,2019-07-20,24
29,Lef Digital,AR,6,0,2019-07-25,2,2019-07-26,201929,2019-07-20,24
31,Farmacia Santa Fe,AR,1,0,2019-07-25,1,2019-07-25,201929,2019-07-20,24
32,Instrumentos Parquer,AR,3,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
33,TRICUBO,AR,15,0,2019-07-24,3,2019-07-26,201929,2019-07-20,24
34,Ikitoi,AR,1,0,2019-07-25,1,2019-07-25,201929,2019-07-20,24
35,Maaian hogar,AR,4,0,2019-07-24,2,2019-07-26,201929,2019-07-20,24
37,Complot,AR,4,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
38,TuTecno,AR,3,0,2019-07-23,2,2019-07-25,201929,2019-07-20,24
39,El mundo del juguete,AR,2,0,2019-07-25,2,2019-07-26,201929,2019-07-20,24
40,Saiku Organico,AR,18,0,2019-07-24,2,2019-07-26,201929,2019-07-20,24
41,Turquesa,AR,1,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
42,Fashion Cook,AR,1,0,2019-07-26,1,2019-07-26,201929,2019-07-20,24
46,CGO Store,AR,5,0,2019-07-26,1,2019-07-26,201929,2019-07-22,24
50,Lenceria Urbana,AR,1,0,2019-07-25,1,2019-07-25,201929,2019-07-22,24
